,Unnamed: 0,Unnamed: 1,DETENIDOS,Unnamed: 3,Unnamed: 4,PROCESADOS,Unnamed: 6,Unnamed: 7,IMPUTADOS,Unnamed: 9,Unnamed: 10,PRIVATIVA DE LIBERTAD,Unnamed: 12,Unnamed: 13,REGIMEN CERRADO CON P.R.S.,Unnamed: 15,Unnamed: 16,FALTA,Unnamed: 18,Unnamed: 19,ARRESTO DIURNO,Unnamed: 21,Unnamed: 22,ARRESTO NOCTURNO,Unnamed: 24,Unnamed: 25,LEY N°20.603,Unnamed: 27,Unnamed: 28,LEY N°18.216,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,UNIDADES QUE INFORMAN,UNIDADES CON S.JUVENIL,UNIDADES RECLUSIÓN,UNIDADES CET,UNIDADES CRS,UNIDADES CAIS,Unnamed: 41,Unnamed: 42,Unnamed: 43
0,C/UNIDAD,Región / Establecimientos,H,M,TOTAL,H,M,TOTAL,H,M,TOTAL,H,M,TOTAL,H,M,TOTAL,H,M,TOTAL,H,M,TOTAL,H,M,TOTAL,H,M,TOTAL,H,M,TOTAL,H,M,TOTAL,,,,,,,,,
133,160102,CDP LA UNION,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,3,0,3,9.0,0,9.0,,,,,,
134,160400,CET VALDIVIA,0,0,0,0,0,0,0,0,0,46,6,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,6,52,49.0,2,51.0,X,,,,,
135,160101,CP VALDIVIA,0,0,0,0,0,0,157,7,164,932,29,961,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1089,37,1126,1016.0,54,1070.0,,,,,,
136,162300,CRS VALDIVIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0,1,13.0,,X,,,,
137,162001,CAIS VALDIVIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,,,X,,,
138,DE LOS RÍOS,TOTAL DE LOS RIOS,0,0,0,0,0,0,158,7,165,978,35,1013,0,0,0,0,1,1,0,0,0,0,0,0,2,0,2,0,0,0,1138,43,1181,1086.0,57,1143.0,,,,,,
139,100703,ANEXO CDP CHAITEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,,,,,,
140,100202,CCP OSORNO,0,0,0,0,0,0,95,2,97,219,11,230,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,316,13,329,315.0,21,336.0,,,,,,
141,100105,CDP ANCUD,0,0,0,0,0,0,17,0,17,66,0,66,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,84,0,84,75.0,0,75.0,,,,,,
142,100106,CDP CASTRO,0,0,0,0,0,0,21,0,21,60,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,81,150.0,0,150.0,,,,,,
